game_configuration,train_configuration,checkpoint,num_train_episodes,eval_every,eval_episodes,rolling_window_size,learning_rate,replay_buffer_capacity,rolling_avg_value,rolling_std,rolling_value_p0,rolling_std_p0,rolling_value_p1,rolling_std_p1,rolling_value_p2,rolling_std_p2
3x3 2-player,3x3x2 with 256x2 MLP,1650000,1000000,5000,1000,10,0.1,100000,0.123,0.0176,0.143,0.0283,0.103,0.0306,N/A,N/A
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,10000,1000000,5000,1000,10,0.1,100000,0.925,0.0112,0.944,0.0158,0.904,0.0216,0.928,0.0133
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,100000,1000000,5000,1000,10,0.1,100000,0.434,0.0289,0.484,0.0473,0.436,0.0508,0.383,0.0287
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,150000,1000000,5000,1000,10,0.1,100000,0.394,0.0219,0.447,0.0449,0.398,0.0347,0.336,0.0326
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,200000,1000000,5000,1000,10,0.1,100000,0.342,0.0174,0.382,0.0411,0.353,0.0383,0.29,0.0366
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,250000,1000000,5000,1000,10,0.1,100000,0.318,0.0269,0.361,0.0405,0.326,0.0425,0.268,0.0503
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,300000,1000000,5000,1000,10,0.1,100000,0.323,0.0322,0.361,0.0245,0.318,0.0609,0.29,0.0595
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,500000,1000000,5000,1000,10,0.1,100000,0.255,0.0218,0.253,0.073,0.285,0.0525,0.226,0.0416
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,800000,1000000,5000,1000,10,0.1,100000,0.27,0.0382,0.315,0.0602,0.257,0.0607,0.239,0.0476
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,1000000,1000000,5000,1000,10,0.1,100000,0.316,0.0219,0.35,0.0424,0.308,0.0298,0.29,0.0536
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,1100000,1000000,5000,1000,10,0.1,100000,0.292,0.0209,0.341,0.0423,0.273,0.0505,0.262,0.0273
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,1200000,1000000,5000,1000,10,0.1,100000,0.308,0.0211,0.355,0.0539,0.314,0.025,0.257,0.0434
3x3 3-player,3x3x3 canonical hands with 256x2 MLP,1300000,1000000,5000,1000,10,0.1,100000,0.313,0.0289,0.354,0.0316,0.305,0.0427,0.28,0.0555
3x3 3-player,3x3x3 with 256x2 MLP,10000,1000000,5000,1000,10,0.1,100000,0.951,0.0062,0.946,0.024,0.948,0.0217,0.959,0.0109
3x3 3-player,3x3x3 with 256x2 MLP,100000,1000000,5000,1000,10,0.1,100000,0.512,0.0303,0.523,0.0342,0.518,0.0358,0.495,0.0509
3x3 3-player,3x3x3 with 256x2 MLP,500000,1000000,5000,1000,10,0.1,100000,0.399,0.0286,0.421,0.0277,0.405,0.0521,0.371,0.0591
3x3 3-player,3x3x3 with 256x2 MLP,1000000,1000000,5000,1000,10,0.1,100000,0.295,0.0426,0.33,0.0367,0.288,0.0695,0.268,0.0522
3x3 3-player,3x3x3 with 256x2 MLP,2000000,1000000,5000,1000,10,0.1,100000,0.261,0.0398,0.304,0.0597,0.26,0.0495,0.218,0.0572
3x3 3-player,3x3x3 with 256x2 MLP,3000000,1000000,5000,1000,10,0.1,100000,0.246,0.0348,0.248,0.0695,0.235,0.0455,0.254,0.0468
3x3 3-player,3x3x3 with 256x2 MLP,4000000,1000000,5000,1000,10,0.1,100000,0.199,0.0352,0.217,0.061,0.188,0.0435,0.192,0.0386
3x3 3-player,3x3x3 with 256x2 MLP,5000000,1000000,5000,1000,10,0.1,100000,0.243,0.0324,0.242,0.0596,0.267,0.0391,0.219,0.0497
3x3 3-player,3x3x3 with 256x2 MLP,6000000,1000000,5000,1000,10,0.1,100000,0.247,0.0311,0.238,0.0498,0.284,0.0436,0.219,0.0447
3x3 3-player,3x3x3 with 256x2 MLP,7000000,1000000,5000,1000,10,0.1,100000,0.256,0.0203,0.252,0.053,0.281,0.0458,0.235,0.0431
3x3 3-player,3x3x3 with 256x2 MLP,8000000,1000000,5000,1000,10,0.1,100000,0.236,0.0323,0.225,0.0431,0.273,0.0643,0.21,0.0554
3x3 3-player,3x3x3 with 256x2 MLP,9000000,1000000,5000,1000,10,0.1,100000,0.256,0.0221,0.256,0.0416,0.307,0.044,0.206,0.0251
3x3 3-player,3x3x3 with 256x2 MLP,9320000,1000000,5000,1000,10,0.1,100000,0.232,0.016,0.222,0.0533,0.26,0.0546,0.214,0.024
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,10000,1000000,5000,1000,10,0.1,100000,0.453,0.0323,0.468,0.0442,0.461,0.0521,0.431,0.0332
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,60000,1000000,5000,1000,10,0.1,100000,0.246,0.0211,0.255,0.059,0.268,0.025,0.216,0.0351
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,110000,1000000,5000,1000,10,0.1,100000,0.256,0.0261,0.292,0.0548,0.234,0.0315,0.243,0.0395
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,150000,1000000,5000,1000,10,0.1,100000,0.296,0.0254,0.28,0.0511,0.331,0.0458,0.279,0.0269
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,190000,1000000,5000,1000,10,0.1,100000,0.257,0.0226,0.25,0.0465,0.298,0.0476,0.224,0.0375
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,290000,1000000,5000,1000,10,0.1,100000,0.225,0.0321,0.239,0.0498,0.253,0.0384,0.182,0.0349
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,370000,1000000,5000,1000,10,0.1,100000,0.252,0.0303,0.227,0.0689,0.299,0.0601,0.23,0.0525
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,500000,1000000,5000,1000,10,0.1,100000,0.25,0.0216,0.217,0.0423,0.319,0.0442,0.214,0.0433
3x3 3-player,3x3x3 with reward scaling (10x) and 512x7 MLP,1000000,1000000,5000,1000,10,0.1,100000,0.239,0.0217,0.236,0.0502,0.287,0.0389,0.193,0.0421
5x5 2-player,5x5x2 with 256x2 MLP,3200000,1000000,5000,1000,10,0.1,100000,0.199,0.0312,0.19,0.035,0.209,0.0483,N/A,N/A